Countries,gdp_usd,human_capital_index,total_deaths,total_recoveries,total_tested,total_active_cases,mean_smoking_prevalence,mean_diabetes_prevalence,mean_hospital_beds_per_1000,mean_nurses_per_1000,mean_physicians_per_1000,mean_health_expenditure_usd,population,population_density,human_development_index,mobility_residential,mobility_workplaces,mobility_transit_stations,mobility_grocery_and_pharmacy,mobility_parks,total_vaccinated
Japan,0.24,0.95,0.04,0.0,0.06,0.22,0.47,0.18,0.0,0.62,0.29,0.41,0.09,0.01,0.96,0.46,0.3,0.2,0.14,0.19,0.11
Kenya,0.0,0.59,0.01,0.0,0.0,0.0,0.23,0.1,0.0,0.06,0.02,0.01,0.04,0.0,0.57,0.63,0.68,0.74,0.34,0.33,0.01
Kyrgyzstan,0.0,0.66,0.0,0.0,0.0,0.0,0.56,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.7,0.19,0.08,0.29,0.06,0.19,0.0
Cambodia,0.0,0.56,0.0,0.0,0.0,0.0,0.37,0.21,0.07,0.04,0.0,0.01,0.01,0.0,0.61,0.68,0.32,0.02,0.03,0.19,0.02
Kiribati,0.0,0.54,0.0,0.0,0.0,0.0,1.0,0.74,0.17,0.2,0.0,0.02,0.0,0.01,0.64,0.17,0.54,0.43,0.12,0.23,0.0
Comoros,0.0,0.46,0.0,0.0,0.0,0.0,0.3,0.4,0.0,0.03,0.03,0.01,0.0,0.02,0.53,0.17,0.54,0.43,0.12,0.23,0.0
Saint Kitts and Nevis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.22,0.32,0.09,0.0,0.01,0.81,0.17,0.54,0.43,0.12,0.23,0.0
South Korea,0.08,0.96,0.03,0.0,0.11,0.26,0.5,0.23,1.0,0.38,0.28,0.22,0.04,0.02,0.94,0.32,0.45,0.35,0.24,0.39,0.05
Kuwait,0.01,0.65,0.0,0.0,0.01,0.01,0.48,0.4,0.0,0.38,0.31,0.15,0.0,0.01,0.84,0.65,0.1,0.27,0.02,0.07,0.0
Cayman Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.17,0.54,0.43,0.12,0.23,0.0
Kazakhstan,0.01,0.84,0.02,0.0,0.01,0.02,0.51,0.2,0.0,0.37,0.0,0.03,0.01,0.0,0.84,0.18,0.18,0.84,0.15,0.25,0.01
Laos,0.0,0.51,0.0,0.0,0.0,0.0,0.61,0.21,0.0,0.05,0.04,0.01,0.01,0.0,0.63,0.55,0.31,0.1,0.12,0.16,0.01
Lebanon,0.0,0.61,0.01,0.0,0.0,0.01,0.72,0.37,0.0,0.09,0.25,0.07,0.0,0.03,0.79,0.19,0.11,0.29,0.33,0.27,0.0
Saint Lucia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.16,0.08,0.04,0.0,0.01,0.78,0.17,0.54,0.43,0.12,0.23,0.0
